customer_id,name,age,digital_skill_level,vulnerability_flag,avg_txn_amount,std_txn_amount,primary_device,trusted_contact,account_created_days
1001,Meena Sharma,42,5,False,2333.49,612.3,DEV-1001-A,,3067
1002,Anish Rao,21,7,False,4057.86,1960.88,DEV-1002-A,,944
1003,Ramesh Taylor,19,6,False,1187.81,324.7,DEV-1003-A,,449
1004,Rajesh Johnson,37,3,True,3867.24,1223.95,DEV-1004-A,+91 98765 65302,160
1005,Aarav Patel,57,6,False,998.32,345.96,DEV-1005-A,,925
1006,Lakshmi Smith,47,6,False,2916.61,1183.25,DEV-1006-A,,2495
1007,Aarav Smith,56,7,False,1197.09,321.07,DEV-1007-A,,844
1008,Martha Rao,22,6,False,3858.18,922.37,DEV-1008-A,,1869
1009,Anish Kumar,63,5,False,1588.58,632.37,DEV-1009-A,,3590
1010,Aarav Kumar,20,7,False,2468.78,1148.0,DEV-1010-A,,3330
1011,Priya Taylor,38,10,False,4698.09,1287.0,DEV-1011-A,,1761
1012,Arthur Gupta,89,3,True,3660.7,2082.02,DEV-1012-A,+91 98765 30379,911
1013,Arthur Patel,23,5,False,509.47,157.19,DEV-1013-A,,409
1014,George Patel,76,1,True,893.84,372.8,DEV-1014-A,+91 98765 57052,3501
1015,Eleanor Johnson,27,8,False,3678.27,1808.25,DEV-1015-A,,1113
1016,Sunita Taylor,71,3,True,1097.97,270.48,DEV-1016-A,+91 98765 70217,2226
1017,Meena Singhania,79,1,True,4357.78,982.35,DEV-1017-A,+91 98765 20328,2291
1018,Kavita Joshi,38,9,False,881.33,401.03,DEV-1018-A,,2604
1019,Eleanor Johnson,81,2,True,1701.66,825.81,DEV-1019-A,+91 98765 35203,2915
1020,Rajesh Sharma,70,5,True,2369.76,942.02,DEV-1020-A,+91 98765 96673,963
1021,Kavita Patel,51,6,False,1722.12,418.74,DEV-1021-A,,3533
1022,Lakshmi Joshi,20,5,False,4163.01,1679.48,DEV-1022-A,,443
1023,George Gupta,83,2,True,546.73,274.58,DEV-1023-A,+91 98765 69429,2633
1024,Eleanor Verma,32,7,False,1284.99,339.87,DEV-1024-A,,1546
1025,Eleanor Rao,85,4,True,4566.71,2505.23,DEV-1025-A,+91 98765 97841,1123
1026,Rajesh Johnson,74,5,True,2080.66,1161.92,DEV-1026-A,+91 98765 93227,730
1027,Lakshmi Verma,38,7,False,1347.14,499.58,DEV-1027-A,,1923
1028,George Gupta,75,1,True,2383.71,688.52,DEV-1028-A,+91 98765 93886,2848
1029,Lakshmi Williams,25,8,False,1583.12,521.29,DEV-1029-A,,1358
1030,Sunita Rao,51,6,False,5558.96,3272.63,DEV-1030-A,,3396
1031,Sunita Kumar,88,3,True,473.99,151.84,DEV-1031-A,+91 98765 51347,1673
1032,Anish Patel,36,7,False,1279.1,513.01,DEV-1032-A,,894
1033,Arthur Rao,21,8,False,1469.65,434.76,DEV-1033-A,,2714
1034,Suresh Singhania,27,8,False,1797.4,533.51,DEV-1034-A,,2663
1035,Devi Verma,62,6,False,3356.03,1648.77,DEV-1035-A,,1114
1036,Ramesh Rao,41,9,False,5507.47,2281.8,DEV-1036-A,,3081
1037,Anish Taylor,23,6,False,3783.97,1039.11,DEV-1037-A,,2424
1038,Martha Johnson,20,10,False,3636.84,751.5,DEV-1038-A,,1665
